Date,Sps,SapFlux_g_s_m2,SapFlow_cm3water_s,VPD_kPa,Avrg_VWC0_50,Hindex
12/30/2018,cepy,30.1850113,0.29531966,2.337303921,0.099033356,0.280794949
12/30/2018,cole,1.872155842,0.125183194,2.337303921,0.099033356,0.013803795
12/31/2018,cepy,28.76288198,0.28238205,2.508044018,0.0964569,0.341705524
12/31/2018,cole,2.043142774,0.13632867,2.508044018,0.0964569,0.017197555
1/1/2019,cepy,23.57713994,0.228802391,2.485224312,0.094356826,0.28641433
1/1/2019,cole,2.840105285,0.29130072,2.485224312,0.094356826,0.026580102
1/2/2019,cepy,23.1154108,0.225147911,2.359932276,0.092064819,0.233871852
1/2/2019,cole,2.752981022,0.269239953,2.359932276,0.092064819,0.018091168
1/3/2019,cepy,22.41578165,0.218925589,2.360153843,0.089526181,0.284027518
1/3/2019,cole,2.266433298,0.210451687,2.360153843,0.089526181,0.028510119
1/4/2019,cepy,21.76871325,0.212887034,2.369638513,0.087176247,0.257495504
1/4/2019,cole,1.890136727,0.171155275,2.369638513,0.087176247,0.025865941
1/5/2019,cepy,31.74048627,0.307517504,2.162523752,0.084184752,0.315660433
1/5/2019,cole,2.228099173,0.209989103,2.162523752,0.084184752,0.029821599
1/6/2019,cepy,26.16953682,0.256489262,1.900598029,0.081798181,0.171996265
1/6/2019,cole,2.170957676,0.215208688,1.900598029,0.081798181,0.016978747
1/7/2019,cepy,22.06903357,0.216361291,1.489296886,0.079012176,0.108877918
1/7/2019,cole,2.33385346,0.222336708,1.489296886,0.079012176,0.007436674
1/8/2019,cepy,24.00437764,0.237905913,1.659451645,0.076586934,0.154732397
1/8/2019,cole,2.807161487,0.259358867,1.659451645,0.076586934,0.019298433
1/9/2019,cepy,21.08291826,0.209919313,1.2141833,0.085417196,0.151766392
1/9/2019,cole,3.232554776,0.287552416,1.2141833,0.085417196,0.025816014
1/10/2019,cepy,28.82013148,0.287947214,1.82183782,0.112429746,0.277766228
1/10/2019,cole,8.159197544,0.78349761,1.82183782,0.112429746,0.043559887
1/11/2019,cepy,24.90133611,0.246727848,1.807172772,0.093720946,0.194264299
1/11/2019,cole,9.010619338,0.920724792,1.807172772,0.093720946,0.124007565
1/12/2019,cepy,24.65665132,0.241554153,2.054529903,0.087728108,0.266197205
1/12/2019,cole,4.802010294,0.525035179,2.054529903,0.087728108,0.079009593
1/13/2019,cepy,25.75403717,0.25290401,1.904379326,0.091154826,0.283485516
1/13/2019,cole,4.232325433,0.435418338,1.904379326,0.091154826,0.040586058
1/14/2019,cepy,22.26055504,0.214861412,1.509666799,0.11707625,0.189213545
1/14/2019,cole,15.37323828,1.420591489,1.509666799,0.11707625,0.174346932
1/15/2019,cepy,40.54238117,0.390354739,1.929568096,0.09932736,0.382889885
1/15/2019,cole,13.83497042,1.336809579,1.929568096,0.09932736,0.213851314
1/16/2019,cepy,25.38777147,0.241738967,1.911324592,0.0918276,0.210885803
1/16/2019,cole,6.368687556,0.690833896,1.911324592,0.0918276,0.073689501
1/17/2019,cepy,22.52578494,0.213939398,1.565368927,0.092176172,0.194866341
1/17/2019,cole,3.045916676,0.299381524,1.565368927,0.092176172,0.02978169
1/18/2019,cepy,24.34748482,0.23817171,1.63604009,0.095453187,0.191295078
1/18/2019,cole,6.835665137,0.694861886,1.63604009,0.095453187,0.09747164
1/19/2019,cepy,22.59264139,0.218535901,1.363455075,0.090887519,0.187761402
1/19/2019,cole,3.133403852,0.286728332,1.363455075,0.090887519,0.028552027
1/20/2019,cepy,33.69996944,0.323026974,1.117272614,0.210072204,0.293301335
1/20/2019,cole,15.62910883,1.127377981,1.117272614,0.210072204,0.235117118
1/21/2019,cepy,31.80823833,0.308252467,1.76932266,0.197208823,0.330241873
1/21/2019,cole,21.30362882,1.36439964,1.76932266,0.197208823,0.410415255
1/22/2019,cepy,27.37396431,0.264976138,2.032143255,0.178342213,0.309297312
1/22/2019,cole,22.20665285,1.42832663,2.032143255,0.178342213,0.416915885
1/23/2019,cepy,28.36914995,0.272475224,1.540226028,0.162208512,0.218293582
1/23/2019,cole,20.01350434,1.29739405,1.540226028,0.162208512,0.268495789
1/24/2019,cepy,24.89770308,0.238313576,1.216495167,0.152672532,0.208832856
1/24/2019,cole,17.42464358,1.137059776,1.216495167,0.152672532,0.256881016
1/25/2019,cepy,24.24778714,0.234479104,1.955033668,0.13633199,0.224134438
1/25/2019,cole,19.08365644,1.252765896,1.955033668,0.13633199,0.319966908
1/26/2019,cepy,26.02388852,0.249353978,2.16312722,0.126005715,0.251997581
1/26/2019,cole,13.20155227,0.922816679,2.16312722,0.126005715,0.186824342
1/27/2019,cepy,27.00896726,0.257191945,2.214442083,0.118699335,0.293796222
1/27/2019,cole,9.336942697,0.700374901,2.214442083,0.118699335,0.161410781
1/28/2019,cepy,29.55356455,0.278156304,1.725253211,0.112024172,0.214216778
1/28/2019,cole,5.435481857,0.435684508,1.725253211,0.112024172,0.050577935
1/29/2019,cepy,32.21750294,0.30824538,1.961315215,0.105796832,0.3206462
1/29/2019,cole,5.89888039,0.509584408,1.961315215,0.105796832,0.078997214
1/30/2019,cepy,28.27154492,0.274757024,2.208140816,0.101716752,0.307191336
